,artist_name,track_name,track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
43,Cabela and Schmitt,Love You True - SMG,4y651TEIpNCAXywxHf2ysR,Unknown,0.723,0.598,4,-9.317,0,0.0262,0.124,2.43e-06,0.0987,0.59,103.998
44,Tom Odell,Another Love,3JvKfv6T31zO0ini8iNItO,chill pop,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769
45,Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,modern rock; pop; pov: indie; rock,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
46,Avicii,Wake Me Up - Radio Edit,6g1NlCpW7fgqDnWbCCDrHl,dance pop; edm; pop; pop dance,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08
47,The Weeknd,The Hills,25khomWgBVamSdKw7hzm3l,canadian contemporary r&b; canadian pop; pop,0.356,0.567,0,-7.011,0,0.0798,0.0861,0.0,0.137,0.109,135.553
48,Call Me Cannon,JAMEY,3cLs3m0rKdVMbSpvptvgkf,Unknown,0.636,0.689,3,-6.504,1,0.025,0.000337,0.255,0.119,0.42,96.024
49,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,pop,0.777,0.317,1,-10.732,0,0.308,0.591,0.0,0.0881,0.33,139.848
50,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,emo rap; miami hip hop; rap,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023
51,Passenger,Let Her Go,7DFNE7NO0raLIUbgzY2rzm,folk-pop; neo mellow,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089
52,Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg,permanent wave; pop,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372
53,Kaitlyn Furey,feel it,0JvPvx2NQ7apUsxymnnDkr,Unknown,0.541,0.631,0,-6.4,1,0.0299,0.00455,0.00157,0.633,0.601,172.141
54,Imagine Dragons,Demons,2Oehrcv4Kov0SuIgWyQY9e,modern rock; pop; rock,0.327,0.71,3,-2.928,1,0.0547,0.202,9e-05,0.28,0.416,179.561
55,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,emo rap; miami hip hop; rap,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021
56,Kendrick Lamar,HUMBLE.,7ujx3NYtwO2LkmKGz59mXp,conscious hip hop; hip hop; rap; west coast rap,0.906,0.625,1,-6.779,0,0.0903,0.000243,3.23e-05,0.0975,0.423,150.018
57,J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,conscious hip hop; hip hop; north carolina hip hop; rap,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028
58,The Hourglass Effect,But Anyways,4QJmlInAGzQEwqXKRq9zcH,Unknown,0.533,0.802,5,-6.837,0,0.0295,0.000569,0.465,0.331,0.601,103.081
59,The Weeknd,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,canadian contemporary r&b; canadian pop; pop,0.586,0.525,1,-7.163,0,0.0616,0.111,0.0,0.134,0.507,133.63
60,Eminem,Lose Yourself,7MJQ9Nfxzh8LPZ9e9u68Fq,detroit hip hop; hip hop; rap,0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403
61,Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH,pop,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875
62,Olivia Rodrigo,good 4 u,4ZtFanR9U6ndgddUvNcjcG,pop,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928
63,Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,dance pop; edm; electro house; house; pop; pop dance; progressive house; uk dance,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994
64,Shawn Mendes,Treat You Better,48DKpTEVJ2pAjxQbWTad3q,canadian pop; pop; viral pop,0.443,0.82,10,-4.091,0,0.34,0.107,0.0,0.107,0.771,82.697
65,Arctic Monkeys,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,garage rock; modern rock; permanent wave; rock; sheffield indie,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
66,Lil Uzi Vert,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,hip hop; melodic rap; philly rap; rage rap; rap; trap,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096
67,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,rap; slap house,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008
68,Noah Kahan,Homesick (with Sam Fender),2l7UudWZ44l1WbHx6ANod9,pov: indie,0.466,0.629,6,-6.468,1,0.0368,0.0248,6.65e-06,0.33,0.383,169.798
69,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,brostep; edm; pop; progressive electro house,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011
70,DJ Snake,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,edm; electronic trap; pop; pop dance,0.475,0.715,8,-5.371,1,0.058,0.0863,2.67e-05,0.135,0.159,199.892
71,The Killers,Mr. Brightside,003vvx7Niy0yvhvHt4a68B,alternative rock; dance rock; modern rock; permanent wave; rock,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033
72,Dua Lipa,New Rules,2ekn2ttSfGqwhhate0LSR0,dance pop; pop; uk pop,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
73,Camila Cabello,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,dance pop; pop,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988
74,Justin Bieber,Sorry,69bp2EbF7Q2rqc5N3ylezZ,canadian pop; pop,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945
75,Sam Smith,Stay With Me,2whoe0pPKh4JRn6eWSIqTV,pop; uk pop,0.414,0.419,0,-6.431,1,0.0388,0.55,0.000195,0.11,0.18,84.082
76,Dua Lipa,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,dance pop; pop; uk pop,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977
77,Halsey,Without Me (with Juice WRLD),6Zc5f20q7sOe1IC1c1jQvZ,electropop; etherpop; indie poptimism; pop,0.744,0.514,6,-6.103,1,0.0746,0.355,0.0,0.184,0.449,136.013
78,Sam Smith,Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,pop; uk pop,0.715,0.372,5,-8.237,1,0.0443,0.638,0.0,0.169,0.474,91.931
79,Major Lazer,Lean On (feat. MØ & DJ Snake),4WjH9Bzt3kx7z8kl0awxh4,dance pop; edm; electro house; moombahton; pop; pop dance,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007
80,Eminem,Without Me,7lQ8MOhq6IN2w8EYcFNSUk,detroit hip hop; hip hop; rap,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238
81,Bruno Mars,When I Was Your Man,0B7wvvmu9EISAwZnOpjhNI,dance pop; pop,0.601,0.271,0,-8.688,1,0.0403,0.937,0.0,0.144,0.411,145.494
82,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,lgbtq+ hip hop,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087
83,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,dance pop; pop,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066
84,Bruno Mars,Just the Way You Are,47Slg6LuqLaX0VodpSCvPt,dance pop; pop,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021
85,Shawn Mendes,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,canadian pop; pop; viral pop,0.866,0.811,11,-4.063,0,0.0553,0.375,0.0,0.078,0.969,121.995
86,Coldplay,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,permanent wave; pop,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
87,Maroon 5,Memories,4cktbXiXOapiLBMprHFErI,pop,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05
88,Anassa,Lay All Your Love On Me,4jpEe4aD78QXNoKhcGHNjC,Unknown,0.381,0.31,4,-6.54,0,0.031,0.247,0.0,0.229,0.159,110.063
89,Post Malone,Congratulations,7BzNT7knTluY0XGlpG5bxe,dfw rap; melodic rap; pop; rap,0.624,0.806,6,-4.271,1,0.0364,0.182,0.0,0.299,0.513,123.117
90,French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,hip hop; pop rap; rap; southern hip hop; trap,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985
91,Mark Ronson,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,pop soul,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988
92,Nirvana,Smells Like Teen Spirit,4CeeEOM32jQcH3eN9Q2dGj,grunge; permanent wave; rock,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
93,Jt5k,Motive (feat. NO1-NOAH),3ft7bvvaCO38yrs1seJhYY,Unknown,0.804,0.431,0,-7.809,0,0.0643,0.137,1.46e-06,0.148,0.582,135.989
94,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,dfw rap; melodic rap; pop; rap,0.674,0.578,10,-5.804,1,0.0408,0.331,0.0,0.135,0.34,145.07
95,Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,garage rock; modern rock; permanent wave; rock; sheffield indie,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528
96,Tyler Parker,Night Out,6wBvJG5DXvyiu0XZUahMFa,Unknown,0.767,0.578,1,-8.383,1,0.137,0.14,0.0,0.269,0.555,161.563
97,Oasis,Wonderwall,1qPbGZqppFwLwcBC1JQ6Vr,beatlesque; britpop; madchester; permanent wave; rock,0.41,0.854,2,-5.609,1,0.0366,0.00236,0.0,0.133,0.456,174.584
98,The Police,Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,album rock; classic rock; permanent wave; rock,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401
99,Benson Boone,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,singer-songwriter pop,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029
100,Ariana Grande,we can't be friends (wait for your love),51ZQ1vr10ffzbwIjDCwqm4,pop,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842
101,Djo,End of Beginning,3qhlB30KknSejmIvZZLjOD,pov: indie; psychedelic pop,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982
102,Future,Like That,2tudvzsrR56uom6smgOcSf,atl hip hop; hip hop; rap; southern hip hop; trap,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012
103,¥$,CARNIVAL,3w0w2T288dec0mgeZZqoNN,Unknown,0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144
104,Tate McRae,greedy,3rUGC1vUpkDG9CZFHMur1t,pop,0.749,0.729,6,-3.19,0,0.0321,0.261,0.0,0.113,0.816,111.004
105,Teddy Swims,Lose Control,17phhZDn6oGtzMe56NuWvj,Unknown,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92
106,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,pop,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994
107,FloyyMenor,Gata Only,6XjDF6nds4DE2BBbagZol6,reggaeton chileno,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986
108,Future,Type Shit,28drn6tQo95MRvO0jQEo5C,atl hip hop; hip hop; rap; southern hip hop; trap,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941
109,Beyoncé,TEXAS HOLD 'EM,7AYmToZ5y67fBjq4RLFbuq,pop; r&b,0.727,0.711,2,-6.549,1,0.078,0.582,0.0,0.158,0.375,110.012
110,Hozier,Too Sweet,3HMY0r2BAdpasXMY8rseR0,irish singer-songwriter; modern rock; pov: indie,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038
111,Future,Cinderella,0hKtu53OlIFXVuYkZwcn3o,atl hip hop; hip hop; rap; southern hip hop; trap,0.876,0.412,5,-7.74,0,0.0748,0.431,0.0,0.101,0.15,130.052
112,Feid,LUNA,7bywjHOc0wSjGGbj04XbVi,colombian pop; pop reggaeton; reggaeton; reggaeton colombiano; trap latino; urbano latino,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019
113,The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",1VNWdmXSbaNrnWod10WIL0,canadian contemporary r&b; canadian pop; pop,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828
114,Xavi,La Diabla,0R6NfOiLzLj4O5VbYSJAjf,sad sierreno,0.751,0.819,11,-4.372,0,0.0409,0.255,0.0,0.236,0.697,131.842
115,Noah Kahan,Stick Season,0mflMxspEfB0VbI1kyLiAv,pov: indie,0.664,0.5,9,-6.935,1,0.0651,0.799,0.0,0.0966,0.801,117.896
116,Future,We Don't Trust You,1pnDvUuAEd6z8bKEsbAjk1,atl hip hop; hip hop; rap; southern hip hop; trap,0.779,0.508,6,-7.169,0,0.271,0.478,0.000439,0.243,0.346,124.091
117,Olivia Rodrigo,obsessed,6tNgRQ0K2NYZ0Rb9l9DzL8,pop,0.68,0.581,8,-5.166,1,0.106,0.0181,1.07e-06,0.276,0.63,119.974
118,Mitski,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,brooklyn indie; pov: indie,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95
119,Future,Young Metro,3OxL6MuctgZp1e0zxoAZhH,atl hip hop; hip hop; rap; southern hip hop; trap,0.716,0.664,6,-7.297,0,0.0571,0.11,0.0,0.11,0.209,112.054
120,21 Savage,redrum,52eIcoLUM25zbQupAZYoFh,atl hip hop; hip hop; rap,0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09
121,Myke Towers,LA FALDA,7iUtQNMRB8ZkKC4AmEuCJC,reggaeton; trap latino; urbano latino,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008
122,Ariana Grande,"yes, and?",5D34wRmbFS29AjtTOP2QJe,pop,0.787,0.775,1,-6.614,1,0.0548,0.19,6.54e-05,0.113,0.787,118.998
123,Travis Scott,FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,rap; slap house,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038
124,Xavi,La Víctima,5XVdHRf4CAJ2Jm0uMIy5qY,sad sierreno,0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082
125,Dua Lipa,Houdini,4OMJGnvZfDvsePyCwRGO7X,dance pop; pop; uk pop,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985
126,Jack Harlow,Lovin On Me,4xhsWYTOGcal8zt0J161CU,deep underground hip hop; kentucky hip hop; pop rap; rap,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983
127,Tyla,Water,5aIVCx5tnk0ntmdiinnYvw,Unknown,0.673,0.722,3,-3.495,0,0.0755,0.0856,0.0,0.137,0.519,117.187
128,Jimin,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,k-pop,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001
129,Bad Bunny,PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,reggaeton; trap latino; urbano latino,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057
130,Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,garage rock; modern rock; permanent wave; rock; sheffield indie,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528
131,Natasha Bedingfield,Unwritten,3U5JVgI2x4rDyHGObzJfNf,dance pop; pop; post-teen pop,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011
132,SZA,Saturn,1bjeWoagtHmUKputLVyDxQ,pop; r&b; rap,0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937
133,Xavi,Corazón de Piedra,0dEAiKNbHt4mrjjoiL0loc,sad sierreno,0.834,0.763,2,-5.475,1,0.0835,0.0354,2.33e-06,0.273,0.633,134.844
134,Future,Ice Attack,70ToiXlzl8N1EgfC07ZcZE,atl hip hop; hip hop; rap; southern hip hop; trap,0.555,0.528,11,-6.368,0,0.356,0.0373,0.0,0.16,0.456,149.723
135,KAROL G,QLONA,5RqSsdzTNPX1uzkmlHCFvK,reggaeton; reggaeton colombiano; trap latino; urbano latino,0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918
136,Ariana Grande,the boy is mine,0Lmbke3KNVFXtoH2mMSHCw,pop,0.795,0.63,7,-5.854,0,0.0434,0.157,0.0,0.0732,0.447,97.998
137,V,FRI(END)S,0PBTlQ84CBJF0tBnKGmQa6,j-division; korean ost,0.466,0.601,8,-4.468,1,0.053,0.0315,0.0,0.0927,0.627,53.376
138,YG Marley,Praise Jah In The Moonlight,3h5TiWTqGxjSjFrbruPFH9,Unknown,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023
139,Michael Marcagi,Scared To Start,3Pbp7cUCx4d3OAkZSCoNvn,Unknown,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035
140,Jung Kook,Seven (feat. Latto) (Explicit Ver.),2HRgqmZQC0MC7GeNuDIXHN,k-pop,0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,124.987
141,Dua Lipa,Training Season,6Qb7YsAqH4wWFUMbGsCpap,dance pop; pop; uk pop,0.812,0.587,5,-4.483,0,0.0477,0.0349,2.64e-06,0.123,0.664,123.041
142,Olivia Rodrigo,vampire,1kuGVB7EU95pJObxwvfwKS,pop,0.484,0.53,5,-5.821,1,0.0538,0.154,0.0,0.263,0.323,136.848
143,The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,canadian contemporary r&b; canadian pop; pop,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003
144,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,classic oklahoma country,0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639
